air_temperature,process_temperature,rotational_speed,torque,tool_wear,vibration,Machine failure,Machine Name,Machine ID,Type,TWF,HDF,PWF,OSF
301.1,310.3,1490,45.0,123.0,2.19,0,Annealing Furnace-01,AF-01R1,M,0,0,0,0
301.3,310.2,1404,50.5,73.0,2.47,0,Annealing Furnace-01,AF-01R2,M,0,0,0,0
306.3,315.6,1200,80.1,220.0,3.89,1,Annealing Furnace-01,AF-01R3,M,1,0,0,0
302.5,311.8,1278,58.1,110.0,3.13,1,Annealing Furnace-01,AF-01R4,M,0,0,1,0
305.4,314.1,1229,64.6,209.0,1.5,0,Annealing Furnace-01,AF-01R5,M,0,0,0,0
301.1,310.4,1492,47.6,127.0,1.91,0,Annealing Furnace-01,AF-01R6,M,0,0,0,0
301.2,310.1,1586,45.5,77.0,1.24,0,Annealing Furnace-01,AF-01R7,M,0,0,0,0
305.5,314.3,1200,66.5,227.0,1.45,0,Annealing Furnace-01,AF-01R8,M,0,0,0,0
300.7,310.5,1474,42.4,82.0,0.38,0,Annealing Furnace-01,AF-01R9,M,0,0,0,0
301.9,310.7,1564,44.7,123.0,1.63,0,Annealing Furnace-02,AF-02R1,M,0,0,0,0
307.9,323.89,1527,51.13,181.99,4.24,1,Annealing Furnace-02,AF-02R2,M,0,0,0,1
305.6,314.3,1204,68.5,222.0,0.89,0,Annealing Furnace-02,AF-02R3,M,0,0,0,0
298.3,309.3,1605,37.1,25.0,1.74,0,Annealing Furnace-02,AF-02R4,M,0,0,0,0
299.2,308.8,1597,34.0,25.0,0.47,0,Annealing Furnace-02,AF-02R5,M,0,0,0,0
301.8,310.9,1540,39.5,86.0,1.97,0,Annealing Furnace-02,AF-02R6,M,0,0,0,0
298.4,309.3,1558,36.6,19.0,2.03,0,Annealing Furnace-02,AF-02R7,M,0,0,0,0
300.3,309.5,1442,45.0,57.0,1.29,0,Annealing Furnace-02,AF-02R8,M,0,0,0,0
313.08,331.25,1310,74.45,277.39,6.64,1,Annealing Furnace-02,AF-02R9,M,0,0,0,0
301.0,309.1,1607,38.6,67.0,0.38,0,Billet Caster-01,BC-01R1,M,0,0,0,0
305.2,314.7,1200,67.9,224.0,1.53,0,Billet Caster-01,BC-01R2,M,0,0,0,0
303.7,312.5,1392,55.1,176.0,0.73,0,Billet Caster-01,BC-01R3,M,0,0,0,0
300.5,310.0,1401,49.2,67.0,1.68,0,Billet Caster-01,BC-01R4,M,0,0,0,0
299.6,309.8,1534,46.5,38.0,1.04,0,Billet Caster-01,BC-01R5,M,0,0,0,0
302.6,311.1,1425,51.1,108.0,1.5,0,Billet Caster-01,BC-01R6,M,0,0,0,0
308.22,322.68,1562,60.46,107.55,7.01,1,Billet Caster-01,BC-01R7,M,1,0,0,0
299.8,309.1,1517,38.8,45.0,1.41,0,Billet Caster-01,BC-01R8,M,0,0,0,0
303.3,313.0,1362,55.8,173.0,2.17,0,Billet Caster-01,BC-01R9,M,0,0,0,0
302.5,311.6,1484,47.0,134.0,1.1,0,Billet Caster-02,BC-02R1,M,0,0,0,0
307.8,322.22,1395,69.64,286.75,7.98,1,Billet Caster-02,BC-02R2,M,0,1,0,0
299.7,309.0,1539,50.0,44.0,1.3,0,Billet Caster-02,BC-02R3,M,0,0,0,0
305.6,314.5,1200,72.4,236.0,0.3,0,Billet Caster-02,BC-02R4,M,0,0,0,0
306.7,315.2,1200,78.3,209.0,3.54,1,Billet Caster-02,BC-02R5,M,1,0,0,0
301.4,310.6,1512,45.4,127.0,2.05,0,Billet Caster-02,BC-02R6,M,0,0,0,0
300.7,310.4,1544,42.6,84.0,0.52,0,Billet Caster-02,BC-02R7,M,0,0,0,0
301.4,310.5,1540,48.2,127.0,1.53,0,Billet Caster-02,BC-02R8,M,0,0,0,0
302.5,311.0,1460,45.9,137.0,0.62,0,Billet Caster-02,BC-02R9,M,0,0,0,0
300.9,310.3,1492,42.9,80.0,2.37,0,Blast Furnace-01,BF-01R1,H,0,0,0,0
303.5,312.4,1363,52.7,157.0,1.08,0,Blast Furnace-01,BF-01R2,H,0,0,0,0
299.7,309.2,1552,44.8,41.0,0.7,0,Blast Furnace-01,BF-01R3,H,0,0,0,0
300.9,310.0,1373,44.2,72.0,1.96,0,Blast Furnace-01,BF-01R4,H,0,0,0,0
307.2,315.8,1200,83.2,230.0,3.75,1,Blast Furnace-01,BF-01R5,H,0,1,1,0
301.5,311.2,1370,51.9,100.0,2.44,1,Blast Furnace-01,BF-01R6,H,1,0,0,0
302.1,311.1,1397,53.4,94.0,2.14,1,Blast Furnace-01,BF-01R7,H,1,0,0,0
307.7,315.8,1200,76.2,233.0,2.78,1,Blast Furnace-01,BF-01R8,H,0,1,1,0
304.9,314.2,1269,62.1,207.0,1.53,0,Blast Furnace-02,BF-02R1,H,0,0,0,0
