UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
1,L15001,L,301.2,310.6,1526,45.4,120,0,0,0,0,0,0,Conveyor Belt-01,1.48
2,L15002,L,300.1,309.7,1389,47.9,42,0,0,0,0,0,0,Conveyor Belt-02,1.36
3,L15003,L,302.5,311.1,1466,47.0,142,0,0,0,0,0,0,Conveyor Belt-03,1.04
4,M15004,M,300.5,310.5,1625,45.0,83,0,0,0,0,0,0,CNC Machine-01,1.66
5,H15005,H,300.9,310.3,1492,42.9,80,0,0,0,0,0,0,Blast Furnace-01,2.37
6,M15006,M,300.9,310.3,1514,46.3,128,0,0,0,0,0,0,CNC Machine-02,1.2
7,L15007,L,302.2,311.0,1499,46.0,141,0,0,0,0,0,0,Conveyor Belt-04,0.6
8,L15008,L,300.7,310.0,1566,48.3,78,0,0,0,0,0,0,Grinding Machine-01,0.4
9,M15009,M,303.0,312.1,1462,50.1,147,0,0,0,0,0,0,CNC Machine-03,1.52
10,L15010,L,300.7,310.2,1604,47.1,85,0,0,0,0,0,0,Grinding Machine-02,1.29
11,H15011,H,304.9,314.2,1269,62.1,207,0,0,0,0,0,0,Blast Furnace-02,1.53
12,L15012,L,300.5,308.7,1630,38.6,24,0,0,0,0,0,0,Grinding Machine-03,1.18
13,H15013,H,305.5,314.8,1201,72.2,236,0,0,0,0,0,0,Blast Furnace-03,1.53
14,M15014,M,300.4,309.5,1565,40.4,57,0,0,0,0,0,0,CNC Machine-04,1.61
15,L15015,L,305.6,314.3,1231,65.0,218,0,0,0,0,0,0,Milling Machine-01,1.39
16,H15016,H,299.6,309.2,1632,36.2,54,0,0,0,0,0,0,Hot Rolling Mill-01,0.94
17,H15017,H,305.1,315.1,1200,69.0,234,0,0,0,0,0,0,Hot Rolling Mill-02,0.87
18,L15018,L,297.8,308.2,1500,48.8,3,0,0,0,0,0,0,Milling Machine-02,1.6
19,H15019,H,305.6,314.8,1200,67.4,235,0,0,0,0,0,0,Hot Rolling Mill-03,1.5
20,H15020,H,299.3,309.3,1605,46.8,32,0,0,0,0,0,0,Heavy Press-01,0.98
21,H15021,H,305.8,314.4,1200,70.4,230,0,0,0,0,0,0,Heavy Press-02,1.05
22,L15022,L,304.7,314.2,1203,66.0,214,0,0,0,0,0,0,Milling Machine-03,1.75
23,L15023,L,304.7,313.9,1269,61.7,200,0,0,0,0,0,0,Drill Press-01,1.57
24,L15024,L,298.4,308.8,1592,45.7,13,0,0,0,0,0,0,Drill Press-02,0.52
25,L15025,L,299.7,308.9,1603,34.8,27,0,0,0,0,0,0,Drill Press-03,2.12
26,M15026,M,299.6,309.1,1537,41.1,41,0,0,0,0,0,0,Cold Rolling Mill-01,0.69
27,M15027,M,305.2,314.2,1200,66.4,222,0,0,0,0,0,0,Cold Rolling Mill-02,1.51
28,M15028,M,302.5,311.6,1460,52.5,102,0,0,0,0,0,0,Cold Rolling Mill-03,1.33
29,H15029,H,304.6,313.7,1258,63.5,206,0,0,0,0,0,0,Heavy Press-03,1.28
30,M15030,M,306.3,314.5,1200,71.1,235,0,0,0,0,0,0,Lathe Machine-01,0.59
31,L15031,L,298.2,308.6,1429,40.5,5,0,0,0,0,0,0,Cooling Tower Fan-01,1.67
32,H15032,H,304.6,313.6,1212,61.9,207,0,0,0,0,0,0,BOF Converter-01,0.85
33,H15033,H,303.1,312.4,1399,50.4,160,0,0,0,0,0,0,BOF Converter-02,0.91
34,M15034,M,300.5,309.5,1565,38.5,62,0,0,0,0,0,0,Lathe Machine-02,0.42
35,M15035,M,299.9,309.6,1655,43.0,51,0,0,0,0,0,0,Lathe Machine-03,1.4
36,H15036,H,299.6,308.9,1468,43.3,30,0,0,0,0,0,0,Slab Caster-01,0.62
37,L15037,L,302.7,311.0,1468,48.3,146,0,0,0,0,0,0,Cooling Tower Fan-02,0.53
38,M15038,M,301.7,310.3,1533,40.7,121,0,0,0,0,0,0,Hydraulic Press-01,2.06
39,H15039,H,299.6,309.1,1447,43.3,31,0,0,0,0,0,0,Slab Caster-02,0.3
40,H15040,H,303.3,312.3,1245,63.4,128,1,0,1,1,0,0,Torpedo Ladle-01,4.52
41,M15041,M,297.6,308.5,1555,43.6,6,0,0,0,0,0,0,Hydraulic Press-02,1.14
42,M15042,M,302.9,312.9,1396,49.7,162,0,0,0,0,0,0,Electric Arc Furnace-01,1.27
43,L15043,L,305.4,314.4,1217,62.4,215,0,0,0,0,0,0,Scrap Shredder-01,1.26
44,M15044,M,303.2,312.5,1494,51.6,165,0,0,0,0,0,0,Electric Arc Furnace-02,1.15
45,L15045,L,304.3,313.4,1326,59.5,185,0,0,0,0,0,0,Scrap Shredder-02,1.12
46,M15046,M,301.0,309.1,1607,38.6,67,0,0,0,0,0,0,Billet Caster-01,0.38
47,L15047,L,304.2,314.0,1271,61.8,192,0,0,0,0,0,0,Pellet Screening Unit-01,1.19
48,M15048,M,302.5,311.6,1484,47.0,134,0,0,0,0,0,0,Billet Caster-02,1.1
49,M15049,M,299.0,308.4,1644,37.4,19,0,0,0,0,0,0,Galvanizing Line-01,1.37
50,H15050,H,305.9,314.6,1200,70.5,234,0,0,0,0,0,0,Torpedo Ladle-02,1.53
51,L15051,L,300.4,309.9,1549,45.6,60,0,0,0,0,0,0,Pellet Screening Unit-02,0.87
52,L15052,L,299.5,308.9,1613,38.8,22,0,0,0,0,0,0,Water Pump Station-01,1.95
53,M15053,M,303.0,311.9,1443,52.6,164,0,0,0,0,0,0,Galvanizing Line-02,0.83
54,M15054,M,301.1,310.3,1490,45.0,123,0,0,0,0,0,0,Annealing Furnace-01,2.19
55,H15055,H,299.6,309.2,1563,45.7,35,0,0,0,0,0,0,Lime Kiln-01,0.81
56,H15056,H,299.9,309.4,1604,35.3,52,0,0,0,0,0,0,Lime Kiln-02,0.72
57,L15057,L,303.0,311.3,1445,45.7,139,0,0,0,0,0,0,Conveyor Belt-01,0.94
58,L15058,L,305.9,314.5,1226,67.6,223,0,0,0,0,0,0,Conveyor Belt-02,1.97
59,L15059,L,305.4,314.5,1227,66.2,221,0,0,0,0,0,0,Conveyor Belt-03,1.57
60,H15060,H,301.3,310.3,1456,47.5,72,0,0,0,0,0,0,Ore Sintering Machine-01,2.36
61,M15061,M,301.9,310.7,1564,44.7,123,0,0,0,0,0,0,Annealing Furnace-02,1.63
62,L15062,L,304.8,314.0,1210,63.4,216,0,0,0,0,0,0,Conveyor Belt-04,0.63
63,M15063,M,302.2,311.9,1454,50.4,150,0,0,0,0,0,0,CNC Machine-01,2.26
64,H15064,H,302.8,312.3,1444,50.6,158,0,0,0,0,0,0,Ore Sintering Machine-02,1.31
65,M15065,M,298.8,309.4,1629,38.3,18,0,0,0,0,0,0,CNC Machine-02,0.32
66,H15066,H,303.6,312.6,1303,65.6,128,1,0,1,1,0,0,Coke Oven Battery-01,3.91
67,M15067,M,298.1,308.8,1568,41.2,0,0,0,0,0,0,0,CNC Machine-03,1.51
68,L15068,L,303.6,312.5,1419,53.7,174,0,0,0,0,0,0,Grinding Machine-01,0.6
69,L15069,L,298.0,309.5,1442,39.5,12,0,0,0,0,0,0,Grinding Machine-02,0.92
70,M15070,M,301.2,310.2,1632,46.1,75,0,0,0,0,0,0,CNC Machine-04,0.69
71,M15071,M,306.0,314.2,1200,72.4,238,0,0,0,0,0,0,Cold Rolling Mill-01,1.26
72,L15072,L,298.1,309.1,1419,40.8,4,0,0,0,0,0,0,Grinding Machine-03,1.16
73,M15073,M,301.1,310.3,1472,44.2,89,0,0,0,0,0,0,Cold Rolling Mill-02,0.45
74,H15074,H,303.5,312.4,1363,52.7,157,0,0,0,0,0,0,Blast Furnace-01,1.08
75,L15075,L,301.5,310.2,1582,43.8,90,0,0,0,0,0,0,Milling Machine-01,1.26
76,M15076,M,303.7,312.4,1378,57.3,172,0,0,0,0,0,0,Cold Rolling Mill-03,0.3
77,L15077,L,304.8,313.3,1281,60.8,191,0,0,0,0,0,0,Milling Machine-02,1.36
78,H15078,H,305.1,313.7,1304,63.4,207,0,0,0,0,0,0,Blast Furnace-02,0.71
79,L15079,L,300.6,309.4,1600,41.7,42,0,0,0,0,0,0,Milling Machine-03,1.01
80,M15080,M,306.3,315.7,1200,78.4,215,1,1,0,0,0,0,Lathe Machine-01,3.68
81,H15081,H,300.0,309.7,1627,43.0,47,0,0,0,0,0,0,Blast Furnace-03,1.18
82,H15082,H,305.4,314.1,1234,62.7,203,0,0,0,0,0,0,Hot Rolling Mill-01,0.5
83,H15083,H,299.6,309.6,1560,41.3,50,0,0,0,0,0,0,Hot Rolling Mill-02,1.24
84,L15084,L,298.4,308.6,1477,39.4,8,0,0,0,0,0,0,Drill Press-01,1.69
85,H15085,H,303.4,313.1,1338,56.8,175,0,0,0,0,0,0,Hot Rolling Mill-03,0.93
86,H15086,H,305.9,315.3,1200,70.9,234,0,0,0,0,0,0,Heavy Press-01,0.98
87,L15087,L,307.8,316.0,1200,77.7,254,1,0,0,0,1,0,Drill Press-02,4.02
88,L15088,L,298.5,308.5,1428,44.7,4,0,0,0,0,0,0,Drill Press-03,2.43
89,M15089,M,300.3,309.4,1606,45.1,46,0,0,0,0,0,0,Lathe Machine-02,0.61
90,M15090,M,298.2,309.1,1548,43.0,0,0,0,0,0,0,0,Lathe Machine-03,1.27
91,L15091,L,300.3,309.7,1579,42.5,60,0,0,0,0,0,0,Cooling Tower Fan-01,0.78
