UDI,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
194,LM-02R4,M,300.5890468403124,307.840449304518,1533.2040672099918,50.15021681343796,10.760223243015549,1,0,0,0,0,0,Lathe Machine-02,1.52635860186875
471,BC-02R7,H,302.4179605592878,309.71674731284793,1488.6085367721278,36.99854955680247,72.26524282788411,1,0,0,0,0,0,BOF Converter-02,1.6354766156577134
407,LM-03R8,M,305.05132469323405,304.9943313406988,1381.929114582235,50.28047695656323,141.15406937480847,0,0,0,1,0,0,Lathe Machine-03,1.3048880233059388
106,CB-02R3,L,303.6526180018889,313.5765574627078,1340.4491756344437,59.19801475666795,176.6765240862402,1,0,0,0,0,0,Conveyor Belt-02,2.2674088322615757
181,CM-04R4,M,302.0538345922605,311.8344877437641,1478.3893075908115,49.062560675276124,82.28927168466993,1,0,0,0,0,0,CNC Machine-04,1.2150268151325399
226,MM-01R5,L,301.1688693026109,311.686852137743,1565.3667008134212,41.90027773009199,65.1963767259035,1,0,0,0,0,0,Milling Machine-01,0.5482733249315894
130,LK-01R2,H,303.76615395590665,312.7893125771927,1313.6543627430065,63.99033097717566,100.33570633143961,0,0,1,1,0,0,Lime Kiln-01,3.9438105838833217
394,CRM-01R8,M,298.43184008375,310.9596682061137,1438.428640131151,48.65412243717222,15.485630310168995,1,0,0,0,0,0,Cold Rolling Mill-01,0.7301563028780643
107,BC-02R2,H,312.61773316686504,329.3514442730296,1219.2657874025283,69.43993088423957,302.29460318479266,0,0,1,0,0,0,BOF Converter-02,7.079326506471143
198,SS-01R4,L,303.24319697811393,312.08813054903493,1388.370597507378,49.712463199941595,143.19528679265727,1,0,0,0,0,0,Scrap Shredder-01,4.0640748315377095
61,AF-02R1,M,302.3916958184003,309.62574949662456,1542.5606489465874,58.77746983160702,143.26683206182798,1,0,0,0,0,0,Annealing Furnace-02,1.4560666868061936
295,CTF-02R6,L,302.5569454626716,312.26676001644597,1349.191134025929,53.928672543250265,117.10075245120943,1,0,0,0,0,0,Cooling Tower Fan-02,0.9030801459924566
409,MM-02R8,L,304.13246745319344,312.541980938308,1168.0480331686558,59.37167498376507,196.90781401571786,1,0,0,0,0,0,Milling Machine-02,1.236702057429824
65,CM-02R2,M,298.0673015117026,309.6351162990233,1644.2987846525668,42.45685019522653,6.099409927091809,1,0,0,0,0,0,CNC Machine-02,1.0823198269228482
253,LM-03R5,M,303.5513116663688,311.46796305836915,1448.5640970814982,57.37099975342135,164.14803702287423,1,0,0,0,0,0,Lathe Machine-03,1.6939075601202145
434,LK-02R6,H,302.56132296778696,311.3635972805839,1565.2819563664098,44.4109892108121,149.24282885720302,1,0,0,0,0,0,Lime Kiln-02,2.9667532544413273
203,WPS-01R4,L,301.5883880007499,309.336594152684,1647.3559421092586,47.529890413985065,78.57851737188462,1,0,0,0,0,0,Water Pump Station-01,0.557846808653033
215,BC-02R4,M,305.0547025188556,315.3255709419192,1189.690540122272,72.87787835652858,253.44703405418224,1,0,0,0,0,0,Billet Caster-02,0.5313544478752789
500,HRM-01R8,H,300.5180208592494,309.64524200294437,1553.3358679675075,35.40116118439706,71.1348205862502,1,0,0,0,0,0,Hot Rolling Mill-01,1.8754745107057402
22,MM-03R1,L,304.8090180889356,315.0344805456031,1190.0747548117688,68.71306272573834,231.5394213675104,1,0,0,0,0,0,Milling Machine-03,1.8792186520869507
426,TL-02R6,H,304.49277478236127,314.8693968409311,1232.8948016387471,74.31926967761784,210.70087861702157,1,0,0,0,0,0,Torpedo Ladle-02,2.5022103168627474
477,TL-02R7,H,303.14120150048063,308.2604496023935,1594.4710844230854,47.158514467790795,117.09061199333459,1,0,0,0,0,0,Torpedo Ladle-02,1.39411595706903
72,GM-03R2,L,298.2028752570998,309.3297314675487,1424.3491068520511,36.02984895239281,-33.305619857000174,1,0,0,0,0,0,Grinding Machine-03,1.587174223936644
397,LM-01R8,M,297.7832224439294,307.0239325252682,1678.1196635906729,40.223165274870325,7.017580909391089,1,0,0,0,0,0,Lathe Machine-01,1.2393190881278437
